spir;12;22;14;30;14;50
spir;12;22;11;40;14;20
spir;12;22;9;23;12;0
spir;12;23;11;30;16;57
spir;12;22;14;30;14;50
spir;12;22;11;40;14;20
spir;12;22;9;23;12;0
spir;12;23;11;30;16;57
spir;12;22;14;30;14;50
spir;12;22;11;40;14;20
spir;12;22;9;23;12;0
spir;12;23;11;30;16;57
spir;12;22;14;30;14;50
spir;12;22;11;40;14;20
spir;12;22;9;23;12;0
spir;12;23;11;30;16;57
spir;12;22;14;30;14;50
spir;12;22;11;40;14;20
spir;12;22;9;23;12;0
spir;12;23;11;30;16;57
spir;12;22;14;30;14;50
spir;12;22;11;40;14;20
spir;12;22;9;23;12;0
spir;12;23;7;30;11;32
spir;12;22;15;0;15;0
spir;12;22;15;0;15;1
kkoi;12;22;15;1;15;1
kkoi;12;22;15;1;15;2
kkis;12;22;15;2;15;2
kkis;12;22;15;2;15;2
